dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
SHORT,1351.58,1357.77,1339.2,0.16,2016-08-12 11:15:00+00:00,NY,1339.2,tp,197.0799999999981,2016,8,2016-08-12
LONG,1348.25,1340.88,1362.99,0.14,2016-08-16 12:45:00+00:00,NY,1340.88,sl,-104.17999999999847,2016,8,2016-08-17
SHORT,1325.5,1328.93,1318.65,0.29,2016-08-26 06:30:00+00:00,London,1328.93,sl,-100.47000000000183,2016,8,2016-08-26
SHORT,1313.95,1318.74,1304.38,0.21,2016-08-31 06:15:00+00:00,London,1304.38,tp,199.96999999999866,2016,8,2016-08-31
SHORT,1307.95,1313.24,1297.37,0.19,2016-08-31 12:45:00+00:00,NY,1313.24,sl,-101.5099999999993,2016,9,2016-09-01
SHORT,1311.17,1315.83,1301.86,0.21,2016-09-02 06:30:00+00:00,London,1315.83,sl,-98.85999999999694,2016,9,2016-09-02
LONG,1347.26,1342.42,1356.95,0.21,2016-09-08 08:00:00+00:00,London,1342.42,sl,-102.63999999999828,2016,9,2016-09-08
SHORT,1324.97,1329.91,1315.09,0.2,2016-09-13 08:15:00+00:00,London,1315.09,tp,196.60000000000218,2016,9,2016-09-13
SHORT,1321.83,1327.33,1310.83,0.18,2016-09-14 06:45:00+00:00,London,1327.33,sl,-100.0,2016,9,2016-09-15
SHORT,1320.61,1324.96,1311.92,0.23,2016-09-15 08:45:00+00:00,London,1311.92,tp,198.86999999999603,2016,9,2016-09-15
SHORT,1316.84,1321.19,1308.15,0.23,2016-09-15 11:15:00+00:00,NY,1308.15,tp,198.86999999999603,2016,9,2016-09-16
SHORT,1308.31,1314.04,1296.85,0.17,2016-09-16 13:00:00+00:00,NY,1314.04,sl,-98.41000000000032,2016,9,2016-09-18
SHORT,1313.12,1318.17,1303.02,0.2,2016-09-19 08:30:00+00:00,London,1318.17,sl,-102.00000000000364,2016,9,2016-09-21
LONG,1332.63,1327.23,1343.44,0.19,2016-09-22 06:00:00+00:00,London,1343.44,tp,204.389999999999,2016,9,2016-09-22
LONG,1338.66,1333.86,1348.26,0.21,2016-09-23 12:45:00+00:00,NY,1333.86,sl,-101.80000000000382,2016,9,2016-09-25
LONG,1337.63,1333.2,1346.5,0.23,2016-09-26 08:00:00+00:00,London,1333.2,sl,-102.89000000000148,2016,9,2016-09-27
