dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
LONG,1677.755,1655.43,1722.4,0.04,2020-03-09 07:00:00+00:00,London,1655.43,sl,-90.30000000000018,2020,3,2020-03-10
SHORT,1502.968,1535.7,1437.49,0.03,2020-03-18 07:30:00+00:00,London,1535.7,sl,-99.19599999999991,2020,3,2020-03-23
LONG,1622.491,1605.15,1657.18,0.06,2020-03-27 07:45:00+00:00,London,1605.15,sl,-105.04599999999937,2020,3,2020-03-31
LONG,1612.308,1600.14,1636.64,0.08,2020-04-03 07:00:00+00:00,London,1636.64,tp,193.65600000000086,2020,4,2020-04-06
LONG,1657.388,1641.46,1689.25,0.06,2020-04-07 06:30:00+00:00,London,1641.46,sl,-96.5679999999993,2020,4,2020-04-07
LONG,1662.338,1651.23,1684.54,0.09,2020-04-09 07:30:00+00:00,London,1684.54,tp,198.81799999999998,2020,4,2020-04-09
LONG,1703.315,1686.9,1736.14,0.06,2020-04-22 08:30:00+00:00,London,1736.14,tp,195.95000000000027,2020,4,2020-04-23
LONG,1730.098,1717.85,1754.59,0.08,2020-04-24 06:15:00+00:00,London,1717.85,sl,-98.98400000000038,2020,4,2020-04-24
LONG,1715.878,1705.44,1736.75,0.1,2020-04-30 07:30:00+00:00,London,1705.44,sl,-105.37999999999874,2020,4,2020-04-30
SHORT,1674.198,1686.92,1648.75,0.08,2020-05-01 06:00:00+00:00,London,1686.92,sl,-102.77599999999984,2020,5,2020-05-01
LONG,1703.208,1695.1,1719.43,0.12,2020-05-13 06:00:00+00:00,London,1719.43,tp,193.66399999999976,2020,5,2020-05-13
LONG,1717.295,1709.15,1733.59,0.12,2020-05-14 07:30:00+00:00,London,1733.59,tp,194.53999999999814,2020,5,2020-05-14
LONG,1735.258,1725.46,1754.86,0.1,2020-05-15 08:00:00+00:00,London,1754.86,tp,195.01999999999862,2020,5,2020-05-18
LONG,1751.228,1742.46,1768.76,0.11,2020-05-20 07:45:00+00:00,London,1742.46,sl,-97.44800000000032,2020,5,2020-05-20
LONG,1739.008,1730.66,1755.71,0.12,2020-06-02 06:15:00+00:00,London,1730.66,sl,-101.17599999999946,2020,6,2020-06-02
SHORT,1705.425,1715.26,1685.75,0.1,2020-06-05 06:45:00+00:00,London,1685.75,tp,195.74999999999955,2020,6,2020-06-05
SHORT,1691.908,1701.83,1672.05,0.1,2020-06-08 07:45:00+00:00,London,1701.83,sl,-100.22000000000027,2020,6,2020-06-08
LONG,1733.835,1723.75,1754.0,0.1,2020-06-12 06:00:00+00:00,London,1723.75,sl,-101.85000000000038,2020,6,2020-06-15
LONG,1756.458,1748.05,1773.27,0.12,2020-06-23 06:45:00+00:00,London,1773.27,tp,200.74399999999878,2020,6,2020-06-23
LONG,1787.488,1779.72,1803.02,0.13,2020-07-01 06:00:00+00:00,London,1779.72,sl,-101.98400000000038,2020,7,2020-07-01
LONG,1778.538,1770.7,1794.22,0.13,2020-07-07 08:45:00+00:00,London,1794.22,tp,202.86600000000024,2020,7,2020-07-07
LONG,1809.108,1802.0,1823.32,0.14,2020-07-13 08:15:00+00:00,London,1802.0,sl,-100.51199999999926,2020,7,2020-07-13
LONG,1810.845,1805.97,1820.6,0.21,2020-07-20 06:45:00+00:00,London,1820.6,tp,203.85499999999752,2020,7,2020-07-21
LONG,1932.835,1909.08,1980.34,0.04,2020-07-28 08:15:00+00:00,London,1980.34,tp,189.01999999999953,2020,7,2020-07-29
LONG,1975.845,1961.32,2004.89,0.07,2020-07-31 06:00:00+00:00,London,1961.32,sl,-102.67500000000065,2020,7,2020-07-31
SHORT,1931.635,1957.58,1879.74,0.04,2020-08-13 07:45:00+00:00,London,1957.58,sl,-104.77999999999975,2020,8,2020-08-13
SHORT,1933.975,1956.14,1889.65,0.05,2020-08-20 08:45:00+00:00,London,1956.14,sl,-111.82500000000095,2020,8,2020-08-24
SHORT,1947.355,1965.03,1912.01,0.06,2020-08-24 08:30:00+00:00,London,1912.01,tp,211.07000000000016,2020,8,2020-08-26
LONG,1964.935,1950.52,1993.76,0.07,2020-08-31 06:15:00+00:00,London,1950.52,sl,-101.90499999999976,2020,9,2020-09-02
SHORT,1936.908,1952.06,1906.6,0.07,2020-09-04 08:00:00+00:00,London,1906.6,tp,211.15599999999998,2020,9,2020-09-08
LONG,1966.235,1956.96,1984.79,0.11,2020-09-16 06:00:00+00:00,London,1956.96,sl,-103.0249999999985,2020,9,2020-09-16
SHORT,1904.768,1919.04,1876.22,0.07,2020-09-22 07:00:00+00:00,London,1876.22,tp,198.83600000000004,2020,9,2020-09-23
SHORT,1886.618,1899.07,1861.71,0.08,2020-10-07 08:15:00+00:00,London,1899.07,sl,-100.61599999999999,2020,10,2020-10-08
LONG,1915.635,1904.86,1937.19,0.09,2020-10-09 08:15:00+00:00,London,1904.86,sl,-97.9750000000008,2020,10,2020-10-13
SHORT,1894.518,1904.08,1875.39,0.1,2020-10-15 06:00:00+00:00,London,1904.08,sl,-96.61999999999898,2020,10,2020-10-15
LONG,1918.265,1909.16,1936.48,0.11,2020-10-21 08:00:00+00:00,London,1909.16,sl,-101.1550000000002,2020,10,2020-10-22
SHORT,1901.128,1909.65,1884.08,0.12,2020-10-26 07:00:00+00:00,London,1909.65,sl,-103.26400000000193,2020,10,2020-10-26
LONG,1916.945,1904.64,1941.55,0.08,2020-11-05 06:15:00+00:00,London,1941.55,tp,195.84000000000015,2020,11,2020-11-05
SHORT,1876.538,1895.16,1839.29,0.05,2020-11-10 08:00:00+00:00,London,1895.16,sl,-94.11000000000035,2020,11,2020-11-13
SHORT,1866.015,1873.28,1851.48,0.14,2020-11-23 07:30:00+00:00,London,1851.48,tp,202.49000000000115,2020,11,2020-11-23
SHORT,1806.498,1814.05,1791.4,0.13,2020-11-27 07:45:00+00:00,London,1791.4,tp,195.27399999999943,2020,11,2020-11-27
LONG,1841.775,1832.77,1859.78,0.11,2020-12-04 06:30:00+00:00,London,1832.77,sl,-100.0550000000012,2020,12,2020-12-04
LONG,1864.345,1853.89,1885.26,0.1,2020-12-08 07:00:00+00:00,London,1853.89,sl,-105.54999999999927,2020,12,2020-12-09
SHORT,1825.775,1834.75,1807.83,0.11,2020-12-14 07:30:00+00:00,London,1834.75,sl,-99.724999999999,2020,12,2020-12-14
LONG,1881.388,1872.72,1898.73,0.12,2020-12-30 08:15:00+00:00,London,1898.73,tp,207.10400000000118,2020,12,2020-12-30
LONG,1893.418,1885.16,1909.93,0.12,2020-12-31 06:00:00+00:00,London,1909.93,tp,197.14400000000205,2021,1,2021-01-04
SHORT,1852.41,1864.65,1827.94,0.08,2021-01-13 06:45:00+00:00,London,1827.94,tp,194.76000000000022,2021,1,2021-01-15
SHORT,1842.705,1852.0,1824.12,0.11,2021-01-19 06:45:00+00:00,London,1852.0,sl,-103.2450000000008,2021,1,2021-01-20
LONG,1863.285,1849.49,1890.87,0.07,2021-02-01 08:00:00+00:00,London,1849.49,sl,-97.56500000000052,2021,2,2021-02-02
SHORT,1834.595,1844.52,1814.74,0.1,2021-02-03 06:30:00+00:00,London,1814.74,tp,197.55000000000018,2021,2,2021-02-04
SHORT,1817.665,1826.56,1799.87,0.11,2021-02-12 06:15:00+00:00,London,1826.56,sl,-98.8449999999998,2021,2,2021-02-12
SHORT,1820.385,1828.5,1804.16,0.12,2021-02-15 08:30:00+00:00,London,1804.16,tp,193.6999999999989,2021,2,2021-02-16
SHORT,1783.965,1794.16,1763.57,0.1,2021-02-18 06:45:00+00:00,London,1763.57,tp,202.94999999999982,2021,2,2021-02-18
SHORT,1792.598,1803.28,1771.23,0.09,2021-02-25 06:00:00+00:00,London,1771.23,tp,191.31199999999944,2021,2,2021-02-25
SHORT,1743.685,1757.89,1715.28,0.07,2021-03-01 07:15:00+00:00,London,1715.28,tp,197.83499999999984,2021,3,2021-03-01
SHORT,1714.44,1727.33,1688.67,0.08,2021-03-03 08:00:00+00:00,London,1688.67,tp,205.15999999999985,2021,3,2021-03-04
SHORT,1693.975,1705.8,1670.32,0.08,2021-03-05 06:00:00+00:00,London,1705.8,sl,-95.60000000000036,2021,3,2021-03-05
SHORT,1689.344,1701.63,1664.78,0.08,2021-03-08 06:15:00+00:00,London,1701.63,sl,-99.28800000000047,2021,3,2021-03-09
SHORT,1725.188,1733.7,1708.17,0.12,2021-03-29 08:00:00+00:00,London,1708.17,tp,203.21600000000035,2021,3,2021-03-29
LONG,1732.715,1725.23,1747.68,0.13,2021-04-06 06:45:00+00:00,London,1747.68,tp,193.5450000000019,2021,4,2021-04-08
LONG,1748.218,1740.02,1764.6,0.12,2021-04-08 08:15:00+00:00,London,1740.02,sl,-99.37600000000111,2021,4,2021-04-09
LONG,1744.598,1737.24,1759.31,0.14,2021-04-14 07:30:00+00:00,London,1737.24,sl,-104.01199999999928,2021,4,2021-04-14
LONG,1746.888,1739.96,1760.74,0.14,2021-04-15 07:15:00+00:00,London,1760.74,tp,192.92800000000128,2021,4,2021-04-15
LONG,1781.698,1772.88,1799.34,0.11,2021-05-05 08:45:00+00:00,London,1799.34,tp,193.06199999999808,2021,5,2021-05-06
LONG,1833.825,1825.09,1851.29,0.11,2021-05-14 06:15:00+00:00,London,1851.29,tp,191.1149999999991,2021,5,2021-05-17
LONG,1862.485,1850.46,1886.54,0.08,2021-05-19 08:00:00+00:00,London,1886.54,tp,191.4400000000005,2021,5,2021-05-19
LONG,1871.345,1859.26,1895.52,0.08,2021-05-20 07:00:00+00:00,London,1895.52,tp,192.39999999999964,2021,5,2021-05-25
SHORT,1864.348,1872.05,1848.95,0.13,2021-06-15 06:30:00+00:00,London,1848.95,tp,199.17399999999884,2021,6,2021-06-16
SHORT,1780.488,1790.57,1760.33,0.1,2021-06-22 07:45:00+00:00,London,1790.57,sl,-101.8199999999988,2021,6,2021-06-23
SHORT,1776.958,1784.09,1762.7,0.14,2021-06-28 06:30:00+00:00,London,1762.7,tp,198.61200000000053,2021,6,2021-06-29
LONG,1807.508,1799.14,1824.25,0.12,2021-07-07 08:00:00+00:00,London,1799.14,sl,-101.41599999999926,2021,7,2021-07-07
SHORT,1796.468,1803.22,1782.96,0.15,2021-07-22 07:45:00+00:00,London,1803.22,sl,-102.27999999999928,2021,7,2021-07-22
SHORT,1796.738,1802.82,1784.57,0.16,2021-07-27 06:00:00+00:00,London,1802.82,sl,-98.31199999999808,2021,7,2021-07-27
LONG,1798.035,1788.07,1817.97,0.1,2021-08-27 08:30:00+00:00,London,1788.07,sl,-100.65000000000146,2021,8,2021-08-27
LONG,1816.314,1809.03,1830.87,0.14,2021-08-30 06:15:00+00:00,London,1809.03,sl,-102.97600000000149,2021,8,2021-08-30
LONG,1814.265,1807.37,1828.06,0.14,2021-09-01 08:15:00+00:00,London,1807.37,sl,-97.53000000000293,2021,9,2021-09-02
SHORT,1797.688,1803.87,1785.32,0.16,2021-09-08 06:45:00+00:00,London,1785.32,tp,196.88800000000265,2021,9,2021-09-08
SHORT,1795.065,1803.32,1778.55,0.12,2021-09-10 08:30:00+00:00,London,1803.32,sl,-100.05999999999858,2021,9,2021-09-14
SHORT,1757.478,1766.93,1738.57,0.11,2021-09-17 08:30:00+00:00,London,1766.93,sl,-104.97199999999998,2021,9,2021-09-20
SHORT,1770.197,1781.12,1748.36,0.09,2021-09-23 08:15:00+00:00,London,1748.36,tp,195.5329999999999,2021,9,2021-09-23
SHORT,1754.357,1763.59,1735.9,0.11,2021-09-24 07:00:00+00:00,London,1735.9,tp,202.02699999999868,2021,9,2021-09-28
SHORT,1741.535,1750.71,1723.18,0.11,2021-09-29 08:00:00+00:00,London,1723.18,tp,200.90500000000023,2021,9,2021-09-29
LONG,1779.494,1772.93,1792.63,0.15,2021-10-20 07:45:00+00:00,London,1792.63,tp,196.0400000000029,2021,10,2021-10-22
LONG,1792.848,1786.19,1806.17,0.15,2021-10-22 07:00:00+00:00,London,1806.17,tp,198.83000000000172,2021,10,2021-10-22
LONG,1801.424,1793.92,1816.42,0.13,2021-10-25 07:00:00+00:00,London,1793.92,sl,-98.55199999999877,2021,10,2021-10-26
SHORT,1775.968,1782.81,1762.29,0.15,2021-11-03 07:30:00+00:00,London,1762.29,tp,204.17000000000166,2021,11,2021-11-03
LONG,1795.548,1785.35,1815.94,0.1,2021-11-05 08:00:00+00:00,London,1815.94,tp,202.92000000000056,2021,11,2021-11-05
LONG,1863.718,1856.01,1879.14,0.13,2021-11-15 07:45:00+00:00,London,1856.01,sl,-101.20400000000109,2021,11,2021-11-16
SHORT,1792.898,1803.61,1771.47,0.09,2021-11-29 08:00:00+00:00,London,1803.61,sl,-97.40799999999989,2021,11,2021-11-30
SHORT,1783.738,1790.7,1769.82,0.14,2021-12-14 08:00:00+00:00,London,1769.82,tp,193.85200000000168,2021,12,2021-12-14
LONG,1806.298,1800.83,1817.23,0.18,2021-12-23 06:45:00+00:00,London,1800.83,sl,-99.42400000000134,2021,12,2021-12-23
LONG,1802.658,1795.52,1816.92,0.14,2021-12-30 08:30:00+00:00,London,1816.92,tp,198.66800000000242,2021,12,2021-12-30
LONG,1819.774,1814.3,1830.73,0.18,2021-12-31 06:30:00+00:00,London,1814.3,sl,-99.53199999999879,2022,1,2022-01-03
LONG,1819.953,1812.7,1834.46,0.14,2022-01-05 08:00:00+00:00,London,1812.7,sl,-102.54199999999902,2022,1,2022-01-05
LONG,1817.568,1811.12,1830.46,0.16,2022-01-12 07:15:00+00:00,London,1811.12,sl,-104.16800000000148,2022,1,2022-01-18
