dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
SHORT,1312.76,1317.47,1303.34,0.21,2018-03-16 13:00:00+00:00,NY,1317.47,sl,-99.91000000000076,2018,3,2018-03-19
SHORT,1310.28,1314.31,1302.22,0.25,2018-03-20 12:15:00+00:00,NY,1314.31,sl,-101.74999999999932,2018,3,2018-03-20
LONG,1331.0,1325.1,1342.81,0.17,2018-03-22 08:15:00+00:00,London,1325.1,sl,-101.30000000000155,2018,3,2018-03-22
SHORT,1324.78,1330.49,1313.35,0.18,2018-04-05 12:45:00+00:00,NY,1330.49,sl,-103.78000000000065,2018,4,2018-04-05
SHORT,1321.25,1325.63,1312.48,0.23,2018-04-25 13:15:00+00:00,NY,1325.63,sl,-101.74000000000251,2018,4,2018-04-26
SHORT,1322.95,1326.72,1315.41,0.27,2018-04-26 07:45:00+00:00,London,1315.41,tp,202.57999999999902,2018,4,2018-04-26
SHORT,1317.24,1321.96,1307.8,0.21,2018-04-26 13:45:00+00:00,NY,1321.96,sl,-100.12000000000057,2018,4,2018-04-27
SHORT,1305.59,1310.03,1296.71,0.23,2018-05-02 12:00:00+00:00,NY,1310.03,sl,-103.12000000000126,2018,5,2018-05-02
SHORT,1294.55,1297.29,1289.07,0.37,2018-06-13 07:15:00+00:00,London,1297.29,sl,-102.38000000000034,2018,6,2018-06-13
LONG,1305.03,1301.37,1312.35,0.27,2018-06-14 08:00:00+00:00,London,1301.37,sl,-99.82000000000221,2018,6,2018-06-14
SHORT,1275.38,1280.6,1264.95,0.19,2018-06-19 15:45:00+00:00,NY,1264.95,tp,197.1700000000012,2018,6,2018-06-20
SHORT,1268.77,1272.31,1261.69,0.28,2018-06-22 14:00:00+00:00,NY,1272.31,sl,-100.11999999999898,2018,6,2018-06-24
SHORT,1258.39,1262.63,1249.9,0.24,2018-06-26 15:30:00+00:00,NY,1249.9,tp,202.76000000000022,2018,6,2018-06-28
SHORT,1248.47,1251.8,1241.81,0.3,2018-07-02 07:00:00+00:00,London,1241.81,tp,198.80000000000246,2018,7,2018-07-02
SHORT,1254.31,1259.05,1244.83,0.21,2018-07-10 12:45:00+00:00,NY,1244.83,tp,198.08000000000038,2018,7,2018-07-11
SHORT,1241.04,1244.8,1233.52,0.27,2018-07-13 06:15:00+00:00,London,1244.8,sl,-102.51999999999977,2018,7,2018-07-16
SHORT,1225.42,1230.4,1215.46,0.2,2018-07-24 13:45:00+00:00,NY,1230.4,sl,-100.60000000000036,2018,7,2018-07-25
SHORT,1213.36,1217.64,1204.79,0.23,2018-08-02 12:45:00+00:00,NY,1204.79,tp,196.10999999999854,2018,8,2018-08-03
SHORT,1176.45,1182.16,1165.03,0.18,2018-08-17 07:30:00+00:00,London,1182.16,sl,-103.78000000000065,2018,8,2018-08-17
LONG,1204.59,1200.07,1213.63,0.22,2018-08-27 07:00:00+00:00,London,1213.63,tp,197.8800000000042,2018,8,2018-08-28
LONG,1206.58,1202.24,1215.27,0.23,2018-08-31 06:45:00+00:00,London,1202.24,sl,-100.81999999999812,2018,8,2018-08-31
SHORT,1193.41,1197.38,1185.48,0.25,2018-09-04 08:00:00+00:00,London,1197.38,sl,-100.25000000000068,2018,9,2018-09-05
SHORT,1193.21,1196.94,1185.75,0.27,2018-09-10 06:15:00+00:00,London,1196.94,sl,-101.7100000000005,2018,9,2018-09-10
LONG,1205.45,1201.13,1214.09,0.23,2018-09-13 07:00:00+00:00,London,1201.13,sl,-100.35999999999854,2018,9,2018-09-13
LONG,1206.5,1202.09,1215.32,0.23,2018-09-14 06:45:00+00:00,London,1202.09,sl,-102.43000000000188,2018,9,2018-09-14
LONG,1203.41,1199.49,1211.26,0.25,2018-09-19 06:30:00+00:00,London,1199.49,sl,-99.00000000000182,2018,9,2018-09-21
SHORT,1187.69,1192.03,1179.01,0.23,2018-10-01 13:15:00+00:00,NY,1192.03,sl,-100.81999999999812,2018,10,2018-10-02
SHORT,1186.48,1190.68,1178.08,0.24,2018-10-09 08:15:00+00:00,London,1190.68,sl,-101.80000000000109,2018,10,2018-10-09
SHORT,1188.08,1191.84,1180.56,0.27,2018-10-10 07:30:00+00:00,London,1191.84,sl,-102.51999999999977,2018,10,2018-10-10
LONG,1226.96,1222.48,1235.91,0.22,2018-10-17 12:00:00+00:00,NY,1222.48,sl,-99.5600000000004,2018,10,2018-10-17
LONG,1233.58,1228.8,1243.14,0.21,2018-10-23 13:15:00+00:00,NY,1228.8,sl,-101.37999999999943,2018,10,2018-10-24
SHORT,1217.3,1221.49,1208.92,0.24,2018-10-31 08:00:00+00:00,London,1221.49,sl,-101.56000000000131,2018,11,2018-11-01
LONG,1235.37,1230.9,1244.32,0.22,2018-11-02 06:45:00+00:00,London,1230.9,sl,-99.3399999999956,2018,11,2018-11-02
LONG,1233.7,1229.38,1242.34,0.23,2018-11-02 11:15:00+00:00,NY,1229.38,sl,-100.35999999999854,2018,11,2018-11-05
SHORT,1223.21,1227.88,1213.86,0.21,2018-11-08 12:00:00+00:00,NY,1213.86,tp,195.35000000000286,2018,11,2018-11-09
SHORT,1200.56,1204.36,1192.97,0.26,2018-11-14 08:30:00+00:00,London,1204.36,sl,-99.79999999999882,2018,11,2018-11-14
LONG,1221.62,1217.7,1229.47,0.25,2018-11-19 08:15:00+00:00,London,1229.47,tp,195.2500000000034,2018,11,2018-11-21
LONG,1226.99,1223.23,1234.51,0.27,2018-11-21 11:15:00+00:00,NY,1223.23,sl,-102.51999999999977,2018,11,2018-11-23
LONG,1226.21,1223.29,1232.06,0.34,2018-11-26 06:45:00+00:00,London,1223.29,sl,-100.28000000000247,2018,11,2018-11-26
SHORT,1213.01,1216.28,1206.48,0.31,2018-11-28 08:00:00+00:00,London,1216.28,sl,-102.36999999999942,2018,11,2018-11-28
LONG,1226.58,1222.6,1234.54,0.25,2018-11-29 08:30:00+00:00,London,1222.6,sl,-100.50000000000045,2018,11,2018-11-29
LONG,1233.81,1228.69,1244.05,0.2,2018-12-03 13:15:00+00:00,NY,1244.05,tp,203.80000000000018,2018,12,2018-12-06
LONG,1241.24,1237.63,1248.47,0.28,2018-12-07 08:30:00+00:00,London,1248.47,tp,201.44000000000054,2018,12,2018-12-07
LONG,1247.82,1244.59,1254.27,0.31,2018-12-11 06:30:00+00:00,London,1244.59,sl,-101.13000000000056,2018,12,2018-12-11
LONG,1248.318,1244.92,1255.11,0.29,2018-12-18 11:15:00+00:00,NY,1255.11,tp,195.96799999999757,2018,12,2018-12-19
LONG,1255.385,1250.07,1266.01,0.19,2018-12-20 08:00:00+00:00,London,1266.01,tp,200.87499999999997,2018,12,2018-12-20
LONG,1259.635,1254.61,1269.68,0.2,2018-12-21 06:00:00+00:00,London,1254.61,sl,-101.50000000000183,2018,12,2018-12-21
LONG,1261.835,1257.51,1270.48,0.23,2018-12-24 07:00:00+00:00,London,1270.48,tp,197.83499999999958,2018,12,2018-12-25
LONG,1271.628,1266.13,1282.62,0.18,2018-12-27 07:00:00+00:00,London,1282.62,tp,196.8559999999993,2018,12,2018-12-31
