dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
LONG,1136.18,1131.43,1150.43,0.21,2010-04-07 07:00:00+00:00,London,1150.43,tp,298.25,2010,4,2010-04-07
LONG,1156.18,1150.63,1172.83,0.18,2010-04-26 07:00:00+00:00,London,1150.63,sl,-100.89999999999918,2010,4,2010-04-26
LONG,1164.38,1158.14,1183.11,0.16,2010-04-28 07:00:00+00:00,London,1183.11,tp,298.67999999999665,2010,5,2010-05-03
LONG,1183.78,1178.64,1199.19,0.19,2010-05-03 14:00:00+00:00,NY,1178.64,sl,-98.65999999999758,2010,5,2010-05-04
LONG,1204.05,1194.02,1234.15,0.1,2010-05-07 06:00:00+00:00,London,1194.02,sl,-101.29999999999973,2010,5,2010-05-07
LONG,1199.83,1189.41,1231.08,0.1,2010-05-07 11:00:00+00:00,NY,1189.41,sl,-105.19999999999845,2010,5,2010-05-10
LONG,1212.55,1206.0,1232.2,0.15,2010-05-27 15:00:00+00:00,NY,1206.0,sl,-99.24999999999932,2010,5,2010-05-28
LONG,1245.78,1237.96,1269.25,0.13,2010-06-25 06:00:00+00:00,London,1237.96,sl,-102.65999999999917,2010,6,2010-06-28
SHORT,1184.58,1191.29,1164.45,0.15,2010-07-21 14:00:00+00:00,NY,1191.29,sl,-101.65000000000055,2010,7,2010-07-22
SHORT,1182.15,1189.87,1159.0,0.13,2010-07-27 08:00:00+00:00,London,1159.0,tp,299.9500000000012,2010,7,2010-07-27
SHORT,1163.28,1168.79,1146.75,0.18,2010-07-29 11:00:00+00:00,NY,1168.79,sl,-100.17999999999984,2010,7,2010-07-29
LONG,1207.03,1202.39,1220.94,0.22,2010-08-09 06:00:00+00:00,London,1202.39,sl,-103.0799999999972,2010,8,2010-08-09
LONG,1216.5,1211.37,1231.89,0.19,2010-08-13 07:00:00+00:00,London,1211.37,sl,-98.47000000000207,2010,8,2010-08-13
LONG,1214.45,1209.52,1229.25,0.2,2010-08-13 12:00:00+00:00,NY,1229.25,tp,294.9999999999991,2010,8,2010-08-18
LONG,1243.23,1238.19,1258.36,0.2,2010-08-31 08:00:00+00:00,London,1238.19,sl,-101.79999999999927,2010,9,2010-09-03
LONG,1267.8,1262.2,1284.61,0.18,2010-09-15 14:00:00+00:00,NY,1284.61,tp,301.579999999999,2010,9,2010-09-21
LONG,1291.23,1285.11,1309.6,0.16,2010-09-22 13:00:00+00:00,NY,1285.11,sl,-98.92000000000189,2010,9,2010-09-28
LONG,1309.4,1303.93,1325.82,0.18,2010-09-29 07:00:00+00:00,London,1303.93,sl,-99.46000000000049,2010,9,2010-09-30
LONG,1316.48,1310.5,1334.43,0.17,2010-10-01 13:00:00+00:00,NY,1334.43,tp,304.1500000000008,2010,10,2010-10-05
LONG,1390.4,1382.1,1415.29,0.12,2010-12-01 11:00:00+00:00,NY,1415.29,tp,297.6799999999985,2010,12,2010-12-03
LONG,1415.18,1406.54,1441.1,0.12,2010-12-06 13:00:00+00:00,NY,1406.54,sl,-104.6800000000012,2010,12,2010-12-07
SHORT,1345.28,1351.48,1326.69,0.16,2011-01-24 11:00:00+00:00,NY,1326.69,tp,296.4399999999987,2011,1,2011-01-25
SHORT,1331.53,1337.52,1313.57,0.17,2011-01-26 07:00:00+00:00,London,1337.52,sl,-102.83000000000015,2011,1,2011-01-26
SHORT,1328.63,1335.83,1307.04,0.14,2011-02-03 07:00:00+00:00,London,1335.83,sl,-101.79999999999747,2011,2,2011-02-03
LONG,1409.73,1402.73,1430.73,0.14,2011-02-23 15:00:00+00:00,NY,1402.73,sl,-99.00000000000001,2011,2,2011-02-24
LONG,1425.33,1416.6,1451.53,0.11,2011-03-14 06:00:00+00:00,London,1416.6,sl,-97.0300000000002,2011,3,2011-03-14
LONG,1437.35,1430.95,1456.54,0.16,2011-03-25 07:00:00+00:00,London,1430.95,sl,-103.39999999999783,2011,3,2011-03-25
LONG,1433.73,1428.11,1450.6,0.18,2011-04-01 06:00:00+00:00,London,1428.11,sl,-102.16000000000211,2011,4,2011-04-01
