dir,entry,sl,tp,lot,open_ts,exit,reason,pnl,year,month,date
LONG,1237.02,1232.9,1243.2,0.24,2018-12-06 08:00:00+00:00,1243.2,tp,147.32000000000153,2018,12,2018-12-06
LONG,1248.205,1244.84,1253.26,0.3,2018-12-18 11:00:00+00:00,1253.26,tp,150.6500000000019,2018,12,2018-12-19
LONG,1262.278,1257.9,1268.84,0.23,2018-12-24 07:00:00+00:00,1268.84,tp,149.92599999999769,2018,12,2018-12-24
SHORT,1292.415,1296.04,1286.98,0.28,2019-04-12 07:00:00+00:00,1286.98,tp,151.1799999999985,2019,4,2019-04-15
LONG,1335.525,1330.64,1342.85,0.2,2019-06-07 07:00:00+00:00,1342.85,tp,145.49999999999636,2019,6,2019-06-07
LONG,1409.358,1397.74,1426.79,0.09,2019-06-26 08:00:00+00:00,1397.74,sl,-105.56199999999944,2019,7,2019-07-01
LONG,1421.418,1414.84,1431.29,0.15,2019-07-18 07:00:00+00:00,1414.84,sl,-99.66999999999962,2019,7,2019-07-18
LONG,1465.145,1454.52,1481.09,0.09,2019-08-06 06:00:00+00:00,1481.09,tp,142.50499999999943,2019,8,2019-08-06
LONG,1502.298,1493.47,1515.54,0.11,2019-08-23 08:00:00+00:00,1515.54,tp,144.66199999999958,2019,8,2019-08-23
LONG,1483.218,1480.07,1487.94,0.32,2019-12-23 08:00:00+00:00,1487.94,tp,150.10399999999936,2019,12,2019-12-23
LONG,1568.085,1559.37,1581.16,0.11,2020-01-07 08:00:00+00:00,1581.16,tp,142.8250000000005,2020,1,2020-01-07
LONG,1575.188,1569.84,1583.22,0.19,2020-02-13 08:00:00+00:00,1583.22,tp,151.60799999999858,2020,2,2020-02-14
SHORT,1496.805,1529.54,1447.7,0.03,2020-03-18 07:00:00+00:00,1529.54,sl,-99.2049999999997,2020,3,2020-03-23
LONG,1716.798,1706.57,1732.14,0.1,2020-05-14 08:00:00+00:00,1732.14,tp,152.420000000001,2020,5,2020-05-14
